date,masks,isPartial
2021-02-25,65,False
2021-02-26,0,False
2021-02-27,65,False
2021-02-28,54,False
2021-03-01,77,False
2021-03-02,0,False
2021-03-03,48,False
2021-03-04,56,False
2021-03-05,63,False
2021-03-06,62,False
2021-03-07,72,False
2021-03-08,58,False
2021-03-09,100,False
2021-03-10,87,False
2021-03-11,58,False
2021-03-12,67,False
2021-03-13,62,False
2021-03-14,0,False
2021-03-15,55,False
2021-03-16,65,False
